district_gadm,state_gadm,year,q,quarter,quarter_num
Lahul & Spiti,Himachal Pradesh,2023,3,2023Q3,35
Lahul & Spiti,Himachal Pradesh,2023,4,2023Q4,36
Lahul & Spiti,Himachal Pradesh,2024,1,2024Q1,37
Lahul & Spiti,Himachal Pradesh,2024,2,2024Q2,38
Lahul & Spiti,Himachal Pradesh,2024,3,2024Q3,39
Lahul & Spiti,Himachal Pradesh,2024,4,2024Q4,40
Mandi,Himachal Pradesh,2015,1,2015Q1,1
Mandi,Himachal Pradesh,2015,2,2015Q2,2
Mandi,Himachal Pradesh,2015,3,2015Q3,3
Mandi,Himachal Pradesh,2015,4,2015Q4,4
Mandi,Himachal Pradesh,2016,1,2016Q1,5
Mandi,Himachal Pradesh,2016,2,2016Q2,6
Mandi,Himachal Pradesh,2016,3,2016Q3,7
Mandi,Himachal Pradesh,2016,4,2016Q4,8
Mandi,Himachal Pradesh,2017,1,2017Q1,9
Mandi,Himachal Pradesh,2017,2,2017Q2,10
Mandi,Himachal Pradesh,2017,3,2017Q3,11
Mandi,Himachal Pradesh,2017,4,2017Q4,12
Mandi,Himachal Pradesh,2018,1,2018Q1,13
Mandi,Himachal Pradesh,2018,2,2018Q2,14
Mandi,Himachal Pradesh,2018,3,2018Q3,15
Mandi,Himachal Pradesh,2018,4,2018Q4,16
Mandi,Himachal Pradesh,2019,1,2019Q1,17
Mandi,Himachal Pradesh,2019,2,2019Q2,18
Mandi,Himachal Pradesh,2019,3,2019Q3,19
Mandi,Himachal Pradesh,2019,4,2019Q4,20
Mandi,Himachal Pradesh,2020,1,2020Q1,21
Mandi,Himachal Pradesh,2020,2,2020Q2,22
Mandi,Himachal Pradesh,2020,3,2020Q3,23
Mandi,Himachal Pradesh,2020,4,2020Q4,24
Mandi,Himachal Pradesh,2021,1,2021Q1,25
Mandi,Himachal Pradesh,2021,2,2021Q2,26
Mandi,Himachal Pradesh,2021,3,2021Q3,27
Mandi,Himachal Pradesh,2021,4,2021Q4,28
Mandi,Himachal Pradesh,2022,1,2022Q1,29
Mandi,Himachal Pradesh,2022,2,2022Q2,30
Mandi,Himachal Pradesh,2022,3,2022Q3,31
Mandi,Himachal Pradesh,2022,4,2022Q4,32
Mandi,Himachal Pradesh,2023,1,2023Q1,33
Mandi,Himachal Pradesh,2023,2,2023Q2,34
Mandi,Himachal Pradesh,2023,3,2023Q3,35
Mandi,Himachal Pradesh,2023,4,2023Q4,36
Mandi,Himachal Pradesh,2024,1,2024Q1,37
Mandi,Himachal Pradesh,2024,2,2024Q2,38
Mandi,Himachal Pradesh,2024,3,2024Q3,39
Mandi,Himachal Pradesh,2024,4,2024Q4,40
Shimla,Himachal Pradesh,2015,1,2015Q1,1
Shimla,Himachal Pradesh,2015,2,2015Q2,2
Shimla,Himachal Pradesh,2015,3,2015Q3,3
Shimla,Himachal Pradesh,2015,4,2015Q4,4
Shimla,Himachal Pradesh,2016,1,2016Q1,5
Shimla,Himachal Pradesh,2016,2,2016Q2,6
Shimla,Himachal Pradesh,2016,3,2016Q3,7
Shimla,Himachal Pradesh,2016,4,2016Q4,8
Shimla,Himachal Pradesh,2017,1,2017Q1,9
Shimla,Himachal Pradesh,2017,2,2017Q2,10
Shimla,Himachal Pradesh,2017,3,2017Q3,11
Shimla,Himachal Pradesh,2017,4,2017Q4,12
Shimla,Himachal Pradesh,2018,1,2018Q1,13
Shimla,Himachal Pradesh,2018,2,2018Q2,14
Shimla,Himachal Pradesh,2018,3,2018Q3,15
Shimla,Himachal Pradesh,2018,4,2018Q4,16
Shimla,Himachal Pradesh,2019,1,2019Q1,17
Shimla,Himachal Pradesh,2019,2,2019Q2,18
Shimla,Himachal Pradesh,2019,3,2019Q3,19
Shimla,Himachal Pradesh,2019,4,2019Q4,20
Shimla,Himachal Pradesh,2020,1,2020Q1,21
Shimla,Himachal Pradesh,2020,2,2020Q2,22
Shimla,Himachal Pradesh,2020,3,2020Q3,23
Shimla,Himachal Pradesh,2020,4,2020Q4,24
Shimla,Himachal Pradesh,2021,1,2021Q1,25
Shimla,Himachal Pradesh,2021,2,2021Q2,26
Shimla,Himachal Pradesh,2021,3,2021Q3,27
Shimla,Himachal Pradesh,2021,4,2021Q4,28
Shimla,Himachal Pradesh,2022,1,2022Q1,29
Shimla,Himachal Pradesh,2022,2,2022Q2,30
Shimla,Himachal Pradesh,2022,3,2022Q3,31
Shimla,Himachal Pradesh,2022,4,2022Q4,32
Shimla,Himachal Pradesh,2023,1,2023Q1,33
Shimla,Himachal Pradesh,2023,2,2023Q2,34
Shimla,Himachal Pradesh,2023,3,2023Q3,35
Shimla,Himachal Pradesh,2023,4,2023Q4,36
Shimla,Himachal Pradesh,2024,1,2024Q1,37
Shimla,Himachal Pradesh,2024,2,2024Q2,38
Shimla,Himachal Pradesh,2024,3,2024Q3,39
Shimla,Himachal Pradesh,2024,4,2024Q4,40
Sirmaur,Himachal Pradesh,2015,1,2015Q1,1
Sirmaur,Himachal Pradesh,2015,2,2015Q2,2
Sirmaur,Himachal Pradesh,2015,3,2015Q3,3
Sirmaur,Himachal Pradesh,2015,4,2015Q4,4
Sirmaur,Himachal Pradesh,2016,1,2016Q1,5
Sirmaur,Himachal Pradesh,2016,2,2016Q2,6
Sirmaur,Himachal Pradesh,2016,3,2016Q3,7
Sirmaur,Himachal Pradesh,2016,4,2016Q4,8
Sirmaur,Himachal Pradesh,2017,1,2017Q1,9
Sirmaur,Himachal Pradesh,2017,2,2017Q2,10
Sirmaur,Himachal Pradesh,2017,3,2017Q3,11
Sirmaur,Himachal Pradesh,2017,4,2017Q4,12
Sirmaur,Himachal Pradesh,2018,1,2018Q1,13
Sirmaur,Himachal Pradesh,2018,2,2018Q2,14
Sirmaur,Himachal Pradesh,2018,3,2018Q3,15
Sirmaur,Himachal Pradesh,2018,4,2018Q4,16
Sirmaur,Himachal Pradesh,2019,1,2019Q1,17
Sirmaur,Himachal Pradesh,2019,2,2019Q2,18
Sirmaur,Himachal Pradesh,2019,3,2019Q3,19
Sirmaur,Himachal Pradesh,2019,4,2019Q4,20
Sirmaur,Himachal Pradesh,2020,1,2020Q1,21
Sirmaur,Himachal Pradesh,2020,2,2020Q2,22
Sirmaur,Himachal Pradesh,2020,3,2020Q3,23
Sirmaur,Himachal Pradesh,2020,4,2020Q4,24
Sirmaur,Himachal Pradesh,2021,1,2021Q1,25
Sirmaur,Himachal Pradesh,2021,2,2021Q2,26
Sirmaur,Himachal Pradesh,2021,3,2021Q3,27
Sirmaur,Himachal Pradesh,2021,4,2021Q4,28
Sirmaur,Himachal Pradesh,2022,1,2022Q1,29
Sirmaur,Himachal Pradesh,2022,2,2022Q2,30
Sirmaur,Himachal Pradesh,2022,3,2022Q3,31
Sirmaur,Himachal Pradesh,2022,4,2022Q4,32
Sirmaur,Himachal Pradesh,2023,1,2023Q1,33
Sirmaur,Himachal Pradesh,2023,2,2023Q2,34
Sirmaur,Himachal Pradesh,2023,3,2023Q3,35
Sirmaur,Himachal Pradesh,2023,4,2023Q4,36
Sirmaur,Himachal Pradesh,2024,1,2024Q1,37
Sirmaur,Himachal Pradesh,2024,2,2024Q2,38
Sirmaur,Himachal Pradesh,2024,3,2024Q3,39
Sirmaur,Himachal Pradesh,2024,4,2024Q4,40
Solan,Himachal Pradesh,2015,1,2015Q1,1
Solan,Himachal Pradesh,2015,2,2015Q2,2
Solan,Himachal Pradesh,2015,3,2015Q3,3
Solan,Himachal Pradesh,2015,4,2015Q4,4
Solan,Himachal Pradesh,2016,1,2016Q1,5
Solan,Himachal Pradesh,2016,2,2016Q2,6
Solan,Himachal Pradesh,2016,3,2016Q3,7
Solan,Himachal Pradesh,2016,4,2016Q4,8
Solan,Himachal Pradesh,2017,1,2017Q1,9
Solan,Himachal Pradesh,2017,2,2017Q2,10
Solan,Himachal Pradesh,2017,3,2017Q3,11
Solan,Himachal Pradesh,2017,4,2017Q4,12
Solan,Himachal Pradesh,2018,1,2018Q1,13
Solan,Himachal Pradesh,2018,2,2018Q2,14
Solan,Himachal Pradesh,2018,3,2018Q3,15
Solan,Himachal Pradesh,2018,4,2018Q4,16
Solan,Himachal Pradesh,2019,1,2019Q1,17
Solan,Himachal Pradesh,2019,2,2019Q2,18
Solan,Himachal Pradesh,2019,3,2019Q3,19
Solan,Himachal Pradesh,2019,4,2019Q4,20
Solan,Himachal Pradesh,2020,1,2020Q1,21
Solan,Himachal Pradesh,2020,2,2020Q2,22
Solan,Himachal Pradesh,2020,3,2020Q3,23
Solan,Himachal Pradesh,2020,4,2020Q4,24
Solan,Himachal Pradesh,2021,1,2021Q1,25
Solan,Himachal Pradesh,2021,2,2021Q2,26
Solan,Himachal Pradesh,2021,3,2021Q3,27
Solan,Himachal Pradesh,2021,4,2021Q4,28
Solan,Himachal Pradesh,2022,1,2022Q1,29
Solan,Himachal Pradesh,2022,2,2022Q2,30
Solan,Himachal Pradesh,2022,3,2022Q3,31
Solan,Himachal Pradesh,2022,4,2022Q4,32
Solan,Himachal Pradesh,2023,1,2023Q1,33
Solan,Himachal Pradesh,2023,2,2023Q2,34
Solan,Himachal Pradesh,2023,3,2023Q3,35
Solan,Himachal Pradesh,2023,4,2023Q4,36
Solan,Himachal Pradesh,2024,1,2024Q1,37
Solan,Himachal Pradesh,2024,2,2024Q2,38
Solan,Himachal Pradesh,2024,3,2024Q3,39
Solan,Himachal Pradesh,2024,4,2024Q4,40
Una,Himachal Pradesh,2015,1,2015Q1,1
Una,Himachal Pradesh,2015,2,2015Q2,2
Una,Himachal Pradesh,2015,3,2015Q3,3
Una,Himachal Pradesh,2015,4,2015Q4,4
Una,Himachal Pradesh,2016,1,2016Q1,5
Una,Himachal Pradesh,2016,2,2016Q2,6
Una,Himachal Pradesh,2016,3,2016Q3,7
Una,Himachal Pradesh,2016,4,2016Q4,8
Una,Himachal Pradesh,2017,1,2017Q1,9
Una,Himachal Pradesh,2017,2,2017Q2,10
Una,Himachal Pradesh,2017,3,2017Q3,11
Una,Himachal Pradesh,2017,4,2017Q4,12
Una,Himachal Pradesh,2018,1,2018Q1,13
Una,Himachal Pradesh,2018,2,2018Q2,14
Una,Himachal Pradesh,2018,3,2018Q3,15
Una,Himachal Pradesh,2018,4,2018Q4,16
Una,Himachal Pradesh,2019,1,2019Q1,17
Una,Himachal Pradesh,2019,2,2019Q2,18
Una,Himachal Pradesh,2019,3,2019Q3,19
Una,Himachal Pradesh,2019,4,2019Q4,20
Una,Himachal Pradesh,2020,1,2020Q1,21
Una,Himachal Pradesh,2020,2,2020Q2,22
Una,Himachal Pradesh,2020,3,2020Q3,23
Una,Himachal Pradesh,2020,4,2020Q4,24
Una,Himachal Pradesh,2021,1,2021Q1,25
Una,Himachal Pradesh,2021,2,2021Q2,26
Una,Himachal Pradesh,2021,3,2021Q3,27
Una,Himachal Pradesh,2021,4,2021Q4,28
Una,Himachal Pradesh,2022,1,2022Q1,29
Una,Himachal Pradesh,2022,2,2022Q2,30
Una,Himachal Pradesh,2022,3,2022Q3,31
Una,Himachal Pradesh,2022,4,2022Q4,32
Una,Himachal Pradesh,2023,1,2023Q1,33
Una,Himachal Pradesh,2023,2,2023Q2,34
Una,Himachal Pradesh,2023,3,2023Q3,35
Una,Himachal Pradesh,2023,4,2023Q4,36
Una,Himachal Pradesh,2024,1,2024Q1,37
Una,Himachal Pradesh,2024,2,2024Q2,38
Una,Himachal Pradesh,2024,3,2024Q3,39
Una,Himachal Pradesh,2024,4,2024Q4,40
Anantnag,Jammu and Kashmir,2015,1,2015Q1,1
Anantnag,Jammu and Kashmir,2015,2,2015Q2,2
Anantnag,Jammu and Kashmir,2015,3,2015Q3,3
Anantnag,Jammu and Kashmir,2015,4,2015Q4,4
Anantnag,Jammu and Kashmir,2016,1,2016Q1,5
Anantnag,Jammu and Kashmir,2016,2,2016Q2,6
Anantnag,Jammu and Kashmir,2016,3,2016Q3,7
Anantnag,Jammu and Kashmir,2016,4,2016Q4,8
Anantnag,Jammu and Kashmir,2017,1,2017Q1,9
Anantnag,Jammu and Kashmir,2017,2,2017Q2,10
Anantnag,Jammu and Kashmir,2017,3,2017Q3,11
Anantnag,Jammu and Kashmir,2017,4,2017Q4,12
Anantnag,Jammu and Kashmir,2018,1,2018Q1,13
Anantnag,Jammu and Kashmir,2018,2,2018Q2,14
Anantnag,Jammu and Kashmir,2018,3,2018Q3,15
Anantnag,Jammu and Kashmir,2018,4,2018Q4,16
Anantnag,Jammu and Kashmir,2019,1,2019Q1,17
Anantnag,Jammu and Kashmir,2019,2,2019Q2,18
Anantnag,Jammu and Kashmir,2019,3,2019Q3,19
Anantnag,Jammu and Kashmir,2019,4,2019Q4,20
Anantnag,Jammu and Kashmir,2020,1,2020Q1,21
Anantnag,Jammu and Kashmir,2020,2,2020Q2,22
Anantnag,Jammu and Kashmir,2020,3,2020Q3,23
Anantnag,Jammu and Kashmir,2020,4,2020Q4,24
Anantnag,Jammu and Kashmir,2021,1,2021Q1,25
Anantnag,Jammu and Kashmir,2021,2,2021Q2,26
Anantnag,Jammu and Kashmir,2021,3,2021Q3,27
Anantnag,Jammu and Kashmir,2021,4,2021Q4,28
Anantnag,Jammu and Kashmir,2022,1,2022Q1,29
Anantnag,Jammu and Kashmir,2022,2,2022Q2,30
Anantnag,Jammu and Kashmir,2022,3,2022Q3,31
Anantnag,Jammu and Kashmir,2022,4,2022Q4,32
Anantnag,Jammu and Kashmir,2023,1,2023Q1,33
Anantnag,Jammu and Kashmir,2023,2,2023Q2,34
Anantnag,Jammu and Kashmir,2023,3,2023Q3,35
Anantnag,Jammu and Kashmir,2023,4,2023Q4,36
Anantnag,Jammu and Kashmir,2024,1,2024Q1,37
Anantnag,Jammu and Kashmir,2024,2,2024Q2,38
Anantnag,Jammu and Kashmir,2024,3,2024Q3,39
Anantnag,Jammu and Kashmir,2024,4,2024Q4,40
Badgam,Jammu and Kashmir,2015,1,2015Q1,1
Badgam,Jammu and Kashmir,2015,2,2015Q2,2
Badgam,Jammu and Kashmir,2015,3,2015Q3,3
Badgam,Jammu and Kashmir,2015,4,2015Q4,4
Badgam,Jammu and Kashmir,2016,1,2016Q1,5
Badgam,Jammu and Kashmir,2016,2,2016Q2,6
Badgam,Jammu and Kashmir,2016,3,2016Q3,7
Badgam,Jammu and Kashmir,2016,4,2016Q4,8
Badgam,Jammu and Kashmir,2017,1,2017Q1,9
Badgam,Jammu and Kashmir,2017,2,2017Q2,10
Badgam,Jammu and Kashmir,2017,3,2017Q3,11
Badgam,Jammu and Kashmir,2017,4,2017Q4,12
Badgam,Jammu and Kashmir,2018,1,2018Q1,13
Badgam,Jammu and Kashmir,2018,2,2018Q2,14
Badgam,Jammu and Kashmir,2018,3,2018Q3,15
Badgam,Jammu and Kashmir,2018,4,2018Q4,16
Badgam,Jammu and Kashmir,2019,1,2019Q1,17
Badgam,Jammu and Kashmir,2019,2,2019Q2,18
Badgam,Jammu and Kashmir,2019,3,2019Q3,19
Badgam,Jammu and Kashmir,2019,4,2019Q4,20
Badgam,Jammu and Kashmir,2020,1,2020Q1,21
Badgam,Jammu and Kashmir,2020,2,2020Q2,22
Badgam,Jammu and Kashmir,2020,3,2020Q3,23
Badgam,Jammu and Kashmir,2020,4,2020Q4,24
Badgam,Jammu and Kashmir,2021,1,2021Q1,25
Badgam,Jammu and Kashmir,2021,2,2021Q2,26
Badgam,Jammu and Kashmir,2021,3,2021Q3,27
Badgam,Jammu and Kashmir,2021,4,2021Q4,28
Badgam,Jammu and Kashmir,2022,1,2022Q1,29
Badgam,Jammu and Kashmir,2022,2,2022Q2,30
Badgam,Jammu and Kashmir,2022,3,2022Q3,31
Badgam,Jammu and Kashmir,2022,4,2022Q4,32
Badgam,Jammu and Kashmir,2023,1,2023Q1,33
Badgam,Jammu and Kashmir,2023,2,2023Q2,34
Badgam,Jammu and Kashmir,2023,3,2023Q3,35
Badgam,Jammu and Kashmir,2023,4,2023Q4,36
Badgam,Jammu and Kashmir,2024,1,2024Q1,37
Badgam,Jammu and Kashmir,2024,2,2024Q2,38
Badgam,Jammu and Kashmir,2024,3,2024Q3,39
Badgam,Jammu and Kashmir,2024,4,2024Q4,40
Bandipore,Jammu and Kashmir,2015,1,2015Q1,1
Bandipore,Jammu and Kashmir,2015,2,2015Q2,2
Bandipore,Jammu and Kashmir,2015,3,2015Q3,3
Bandipore,Jammu and Kashmir,2015,4,2015Q4,4
Bandipore,Jammu and Kashmir,2016,1,2016Q1,5
Bandipore,Jammu and Kashmir,2016,2,2016Q2,6
Bandipore,Jammu and Kashmir,2016,3,2016Q3,7
Bandipore,Jammu and Kashmir,2016,4,2016Q4,8
Bandipore,Jammu and Kashmir,2017,1,2017Q1,9
Bandipore,Jammu and Kashmir,2017,2,2017Q2,10
Bandipore,Jammu and Kashmir,2017,3,2017Q3,11
Bandipore,Jammu and Kashmir,2017,4,2017Q4,12
Bandipore,Jammu and Kashmir,2018,1,2018Q1,13
Bandipore,Jammu and Kashmir,2018,2,2018Q2,14
Bandipore,Jammu and Kashmir,2018,3,2018Q3,15
Bandipore,Jammu and Kashmir,2018,4,2018Q4,16
Bandipore,Jammu and Kashmir,2019,1,2019Q1,17
Bandipore,Jammu and Kashmir,2019,2,2019Q2,18
Bandipore,Jammu and Kashmir,2019,3,2019Q3,19
Bandipore,Jammu and Kashmir,2019,4,2019Q4,20
Bandipore,Jammu and Kashmir,2020,1,2020Q1,21
Bandipore,Jammu and Kashmir,2020,2,2020Q2,22
Bandipore,Jammu and Kashmir,2020,3,2020Q3,23
Bandipore,Jammu and Kashmir,2020,4,2020Q4,24
Bandipore,Jammu and Kashmir,2021,1,2021Q1,25
Bandipore,Jammu and Kashmir,2021,2,2021Q2,26
Bandipore,Jammu and Kashmir,2021,3,2021Q3,27
Bandipore,Jammu and Kashmir,2021,4,2021Q4,28
Bandipore,Jammu and Kashmir,2022,1,2022Q1,29
Bandipore,Jammu and Kashmir,2022,2,2022Q2,30
Bandipore,Jammu and Kashmir,2022,3,2022Q3,31
Bandipore,Jammu and Kashmir,2022,4,2022Q4,32
Bandipore,Jammu and Kashmir,2023,1,2023Q1,33
Bandipore,Jammu and Kashmir,2023,2,2023Q2,34
Bandipore,Jammu and Kashmir,2023,3,2023Q3,35
Bandipore,Jammu and Kashmir,2023,4,2023Q4,36
Bandipore,Jammu and Kashmir,2024,1,2024Q1,37
Bandipore,Jammu and Kashmir,2024,2,2024Q2,38
Bandipore,Jammu and Kashmir,2024,3,2024Q3,39
Bandipore,Jammu and Kashmir,2024,4,2024Q4,40
Baramulla,Jammu and Kashmir,2015,1,2015Q1,1
Baramulla,Jammu and Kashmir,2015,2,2015Q2,2
Baramulla,Jammu and Kashmir,2015,3,2015Q3,3
Baramulla,Jammu and Kashmir,2015,4,2015Q4,4
Baramulla,Jammu and Kashmir,2016,1,2016Q1,5
Baramulla,Jammu and Kashmir,2016,2,2016Q2,6
Baramulla,Jammu and Kashmir,2016,3,2016Q3,7
Baramulla,Jammu and Kashmir,2016,4,2016Q4,8
Baramulla,Jammu and Kashmir,2017,1,2017Q1,9
Baramulla,Jammu and Kashmir,2017,2,2017Q2,10
Baramulla,Jammu and Kashmir,2017,3,2017Q3,11
Baramulla,Jammu and Kashmir,2017,4,2017Q4,12
Baramulla,Jammu and Kashmir,2018,1,2018Q1,13
Baramulla,Jammu and Kashmir,2018,2,2018Q2,14
Baramulla,Jammu and Kashmir,2018,3,2018Q3,15
Baramulla,Jammu and Kashmir,2018,4,2018Q4,16
Baramulla,Jammu and Kashmir,2019,1,2019Q1,17
Baramulla,Jammu and Kashmir,2019,2,2019Q2,18
Baramulla,Jammu and Kashmir,2019,3,2019Q3,19
Baramulla,Jammu and Kashmir,2019,4,2019Q4,20
Baramulla,Jammu and Kashmir,2020,1,2020Q1,21
Baramulla,Jammu and Kashmir,2020,2,2020Q2,22
Baramulla,Jammu and Kashmir,2020,3,2020Q3,23
Baramulla,Jammu and Kashmir,2020,4,2020Q4,24
Baramulla,Jammu and Kashmir,2021,1,2021Q1,25
Baramulla,Jammu and Kashmir,2021,2,2021Q2,26
Baramulla,Jammu and Kashmir,2021,3,2021Q3,27
Baramulla,Jammu and Kashmir,2021,4,2021Q4,28
Baramulla,Jammu and Kashmir,2022,1,2022Q1,29
Baramulla,Jammu and Kashmir,2022,2,2022Q2,30
Baramulla,Jammu and Kashmir,2022,3,2022Q3,31
Baramulla,Jammu and Kashmir,2022,4,2022Q4,32
Baramulla,Jammu and Kashmir,2023,1,2023Q1,33
Baramulla,Jammu and Kashmir,2023,2,2023Q2,34
Baramulla,Jammu and Kashmir,2023,3,2023Q3,35
Baramulla,Jammu and Kashmir,2023,4,2023Q4,36
Baramulla,Jammu and Kashmir,2024,1,2024Q1,37
Baramulla,Jammu and Kashmir,2024,2,2024Q2,38
Baramulla,Jammu and Kashmir,2024,3,2024Q3,39
Baramulla,Jammu and Kashmir,2024,4,2024Q4,40
Doda,Jammu and Kashmir,2015,1,2015Q1,1
Doda,Jammu and Kashmir,2015,2,2015Q2,2
Doda,Jammu and Kashmir,2015,3,2015Q3,3
Doda,Jammu and Kashmir,2015,4,2015Q4,4
Doda,Jammu and Kashmir,2016,1,2016Q1,5
Doda,Jammu and Kashmir,2016,2,2016Q2,6
Doda,Jammu and Kashmir,2016,3,2016Q3,7
Doda,Jammu and Kashmir,2016,4,2016Q4,8
Doda,Jammu and Kashmir,2017,1,2017Q1,9
Doda,Jammu and Kashmir,2017,2,2017Q2,10
Doda,Jammu and Kashmir,2017,3,2017Q3,11
Doda,Jammu and Kashmir,2017,4,2017Q4,12
Doda,Jammu and Kashmir,2018,1,2018Q1,13
Doda,Jammu and Kashmir,2018,2,2018Q2,14
Doda,Jammu and Kashmir,2018,3,2018Q3,15
Doda,Jammu and Kashmir,2018,4,2018Q4,16
Doda,Jammu and Kashmir,2019,1,2019Q1,17
Doda,Jammu and Kashmir,2019,2,2019Q2,18
Doda,Jammu and Kashmir,2019,3,2019Q3,19
Doda,Jammu and Kashmir,2019,4,2019Q4,20
Doda,Jammu and Kashmir,2020,1,2020Q1,21
Doda,Jammu and Kashmir,2020,2,2020Q2,22
Doda,Jammu and Kashmir,2020,3,2020Q3,23
Doda,Jammu and Kashmir,2020,4,2020Q4,24
Doda,Jammu and Kashmir,2021,1,2021Q1,25
Doda,Jammu and Kashmir,2021,2,2021Q2,26
Doda,Jammu and Kashmir,2021,3,2021Q3,27
Doda,Jammu and Kashmir,2021,4,2021Q4,28
Doda,Jammu and Kashmir,2022,1,2022Q1,29
Doda,Jammu and Kashmir,2022,2,2022Q2,30
Doda,Jammu and Kashmir,2022,3,2022Q3,31
Doda,Jammu and Kashmir,2022,4,2022Q4,32
Doda,Jammu and Kashmir,2023,1,2023Q1,33
Doda,Jammu and Kashmir,2023,2,2023Q2,34
Doda,Jammu and Kashmir,2023,3,2023Q3,35
Doda,Jammu and Kashmir,2023,4,2023Q4,36
Doda,Jammu and Kashmir,2024,1,2024Q1,37
Doda,Jammu and Kashmir,2024,2,2024Q2,38
Doda,Jammu and Kashmir,2024,3,2024Q3,39
Doda,Jammu and Kashmir,2024,4,2024Q4,40
Ganderbal,Jammu and Kashmir,2015,1,2015Q1,1
Ganderbal,Jammu and Kashmir,2015,2,2015Q2,2
Ganderbal,Jammu and Kashmir,2015,3,2015Q3,3
Ganderbal,Jammu and Kashmir,2015,4,2015Q4,4
Ganderbal,Jammu and Kashmir,2016,1,2016Q1,5
Ganderbal,Jammu and Kashmir,2016,2,2016Q2,6
Ganderbal,Jammu and Kashmir,2016,3,2016Q3,7
Ganderbal,Jammu and Kashmir,2016,4,2016Q4,8
Ganderbal,Jammu and Kashmir,2017,1,2017Q1,9
Ganderbal,Jammu and Kashmir,2017,2,2017Q2,10
Ganderbal,Jammu and Kashmir,2017,3,2017Q3,11
Ganderbal,Jammu and Kashmir,2017,4,2017Q4,12
Ganderbal,Jammu and Kashmir,2018,1,2018Q1,13
Ganderbal,Jammu and Kashmir,2018,2,2018Q2,14
Ganderbal,Jammu and Kashmir,2018,3,2018Q3,15
Ganderbal,Jammu and Kashmir,2018,4,2018Q4,16
Ganderbal,Jammu and Kashmir,2019,1,2019Q1,17
Ganderbal,Jammu and Kashmir,2019,2,2019Q2,18
Ganderbal,Jammu and Kashmir,2019,3,2019Q3,19
Ganderbal,Jammu and Kashmir,2019,4,2019Q4,20
Ganderbal,Jammu and Kashmir,2020,1,2020Q1,21
Ganderbal,Jammu and Kashmir,2020,2,2020Q2,22
Ganderbal,Jammu and Kashmir,2020,3,2020Q3,23
Ganderbal,Jammu and Kashmir,2020,4,2020Q4,24
Ganderbal,Jammu and Kashmir,2021,1,2021Q1,25
Ganderbal,Jammu and Kashmir,2021,2,2021Q2,26
Ganderbal,Jammu and Kashmir,2021,3,2021Q3,27
Ganderbal,Jammu and Kashmir,2021,4,2021Q4,28
Ganderbal,Jammu and Kashmir,2022,1,2022Q1,29
Ganderbal,Jammu and Kashmir,2022,2,2022Q2,30
Ganderbal,Jammu and Kashmir,2022,3,2022Q3,31
Ganderbal,Jammu and Kashmir,2022,4,2022Q4,32
Ganderbal,Jammu and Kashmir,2023,1,2023Q1,33
Ganderbal,Jammu and Kashmir,2023,2,2023Q2,34
Ganderbal,Jammu and Kashmir,2023,3,2023Q3,35
Ganderbal,Jammu and Kashmir,2023,4,2023Q4,36
Ganderbal,Jammu and Kashmir,2024,1,2024Q1,37
Ganderbal,Jammu and Kashmir,2024,2,2024Q2,38
Ganderbal,Jammu and Kashmir,2024,3,2024Q3,39
Ganderbal,Jammu and Kashmir,2024,4,2024Q4,40
Jammu,Jammu and Kashmir,2015,1,2015Q1,1
Jammu,Jammu and Kashmir,2015,2,2015Q2,2
Jammu,Jammu and Kashmir,2015,3,2015Q3,3
Jammu,Jammu and Kashmir,2015,4,2015Q4,4
Jammu,Jammu and Kashmir,2016,1,2016Q1,5
Jammu,Jammu and Kashmir,2016,2,2016Q2,6
Jammu,Jammu and Kashmir,2016,3,2016Q3,7
Jammu,Jammu and Kashmir,2016,4,2016Q4,8
Jammu,Jammu and Kashmir,2017,1,2017Q1,9
Jammu,Jammu and Kashmir,2017,2,2017Q2,10
Jammu,Jammu and Kashmir,2017,3,2017Q3,11
Jammu,Jammu and Kashmir,2017,4,2017Q4,12
Jammu,Jammu and Kashmir,2018,1,2018Q1,13
Jammu,Jammu and Kashmir,2018,2,2018Q2,14
Jammu,Jammu and Kashmir,2018,3,2018Q3,15
Jammu,Jammu and Kashmir,2018,4,2018Q4,16
Jammu,Jammu and Kashmir,2019,1,2019Q1,17
Jammu,Jammu and Kashmir,2019,2,2019Q2,18
Jammu,Jammu and Kashmir,2019,3,2019Q3,19
Jammu,Jammu and Kashmir,2019,4,2019Q4,20
Jammu,Jammu and Kashmir,2020,1,2020Q1,21
Jammu,Jammu and Kashmir,2020,2,2020Q2,22
Jammu,Jammu and Kashmir,2020,3,2020Q3,23
Jammu,Jammu and Kashmir,2020,4,2020Q4,24
Jammu,Jammu and Kashmir,2021,1,2021Q1,25
Jammu,Jammu and Kashmir,2021,2,2021Q2,26
Jammu,Jammu and Kashmir,2021,3,2021Q3,27
Jammu,Jammu and Kashmir,2021,4,2021Q4,28
Jammu,Jammu and Kashmir,2022,1,2022Q1,29
Jammu,Jammu and Kashmir,2022,2,2022Q2,30
Jammu,Jammu and Kashmir,2022,3,2022Q3,31
Jammu,Jammu and Kashmir,2022,4,2022Q4,32
Jammu,Jammu and Kashmir,2023,1,2023Q1,33
Jammu,Jammu and Kashmir,2023,2,2023Q2,34
Jammu,Jammu and Kashmir,2023,3,2023Q3,35
Jammu,Jammu and Kashmir,2023,4,2023Q4,36
Jammu,Jammu and Kashmir,2024,1,2024Q1,37
